url,rental_type,guests,bedrooms,beds,baths,latitude,longitude,host_name,superhost,years_hosting
https://www.airbnb.com/rooms/1126991317759056330,Entire home,12,6,7,3,32.063,-81.0941,Allan Superhost · 5 years hosting,Superhost,5
https://www.airbnb.com/rooms/1127029325254220289,Entire condo,4,1,2,1,32.02271,-80.85872,Melissa Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1132635263335270990,Entire home,5,2,4,1,32.0858,-81.17617,Jessica Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1133081,Entire guesthouse,2,1,1,1,32.0591,-81.0964,Richard Superhost · 15 years hosting,Superhost,15
https://www.airbnb.com/rooms/1133289855201283812,Entire rental unit,4,,2,1,32.0787,-81.0917,Kasa 10 years hosting,,10
https://www.airbnb.com/rooms/1133292479887432394,Entire rental unit,2,,1,1,32.0787,-81.0917,Kasa 10 years hosting,,10
https://www.airbnb.com/rooms/1133297861590905211,Entire rental unit,4,1,2,1,32.0787,-81.0917,Kasa 10 years hosting,,10
https://www.airbnb.com/rooms/1136414519124979136,Entire townhouse,6,3,3,2,32.073,-81.0879,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1136460873545557512,Entire guesthouse,2,1,2,1,32.0715,-81.12242,Oscar And Carolina Superhost · 3 years hosting,Superhost,3
https://www.airbnb.com/rooms/1136964284599709748,Entire guesthouse,4,2,2,1,32.0328,-81.1229,Walter Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/11409852,Entire home,5,3,3,2,32.0347,-81.0572,Mary Superhost · 13 years hosting,Superhost,13
https://www.airbnb.com/rooms/1141188133002285315,Entire home,8,3,5,2,32.0729,-81.0875,Chaz Superhost · 2 years hosting,Superhost,2
https://www.airbnb.com/rooms/1141405035943655752,Entire home,10,3,3,2,32.18556,-81.22263,Zena Superhost · 4 years hosting,Superhost,4
https://www.airbnb.com/rooms/1142954320044562392,Entire home,8,3,4,2,32.02182,-81.21917,Shandira Superhost · 4 years hosting,Superhost,4
https://www.airbnb.com/rooms/1143597075952167264,Entire rental unit,4,2,2,1,32.0823,-81.0938,Brandon & Chase Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1145594413832887218,Entire townhouse,6,3,3,3,32.0769,-81.0771,Lucky Savannah Superhost · 10 years hosting,Superhost,10
https://www.airbnb.com/rooms/1145784535506480833,Entire home,4,2,2,1,32.06318,-81.09345,Emily 4 years hosting,,4
